model_type,model_label,dataset,n_patients,accuracy,accuracy_ci_lo,accuracy_ci_hi,balanced_acc,balanced_acc_ci_lo,balanced_acc_ci_hi,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,macro_auc,macro_auc_ci_lo,macro_auc_ci_hi,f1_adeno,f1_adeno_ci_lo,f1_adeno_ci_hi,f1_smallcell,f1_smallcell_ci_lo,f1_smallcell_ci_hi,f1_squamous,f1_squamous_ci_lo,f1_squamous_ci_hi,auc_adeno,auc_adeno_ci_lo,auc_adeno_ci_hi,auc_smallcell,auc_smallcell_ci_lo,auc_smallcell_ci_hi,auc_squamous,auc_squamous_ci_lo,auc_squamous_ci_hi,test_timestamp
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",Lung-PET-CT-Dx (test),53,0.6792452830188679,0.5660377358490566,0.7924528301886793,0.5789473684210527,0.41420565302144247,0.7436647173489278,0.5443409247757075,0.40682826160767344,0.6848300355149669,0.8206816202336918,0.7047234429023342,0.9221204768853145,0.8115942028985507,0.7058823529411765,0.8986221677893447,0.25,0.0,0.5,0.5714285714285715,0.3333333333333333,0.8,0.8859649122807017,0.7718859649122808,0.9701754385964912,0.7730496453900709,0.5602836879432624,0.925531914893617,0.803030303030303,0.6161616161616162,0.9571338383838385,2026-05-03T10:52:38
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",BigLunge (test),41,0.4634146341463415,0.3170731707317073,0.6097560975609756,0.45604395604395603,0.3131868131868132,0.6007326007326007,0.42884250474383306,0.2869818241623516,0.5801402769153027,0.6278659611992946,0.5008207841541176,0.7500364604531272,0.5806451612903226,0.3870967741935484,0.7567567567567568,0.23529411764705882,0.0,0.5263157894736842,0.47058823529411764,0.27772988505747126,0.6401290322580644,0.7089947089947091,0.5317460317460317,0.854563492063492,0.5,0.30487637362637365,0.7033653846153846,0.6746031746031745,0.47089947089947093,0.8597883597883598,2026-05-03T10:55:07
resnet50_2d,"ResNet-50 (2D, ImageNet)",Lung-PET-CT-Dx (test),53,0.7358490566037735,0.6226415094339622,0.8490566037735849,0.6335282651072124,0.4775828460038986,0.7894736842105262,0.6067019400352733,0.4203696895424836,0.7677777777777778,0.8142598059731317,0.7077911062849473,0.9015892783753926,0.8571428571428572,0.7535326086956522,0.931552511415525,0.4444444444444444,0.0,0.8,0.5185185185185185,0.3448275862068966,0.692391304347826,0.8736842105263157,0.7596052631578948,0.956140350877193,0.801418439716312,0.6560283687943262,0.9219858156028369,0.7676767676767676,0.6186868686868686,0.9015151515151515,2026-05-03T11:00:18
resnet50_2d,"ResNet-50 (2D, ImageNet)",BigLunge (test),41,0.4146341463414634,0.2682926829268293,0.5609756097560976,0.41391941391941395,0.2673992673992674,0.5604395604395604,0.42181259600614446,0.26759194539366954,0.5595289408866994,0.639363722697056,0.5065103106769773,0.773650115316782,0.4666666666666667,0.23976923076923076,0.6475490196078427,0.3225806451612903,0.13333333333333333,0.5004032258064512,0.4761904761904762,0.21052631578947367,0.72,0.7037037037037037,0.5237433862433862,0.8651455026455026,0.5027472527472527,0.2883928571428572,0.7280906593406593,0.7116402116402116,0.5369708994708994,0.8571428571428572,2026-05-03T11:04:49
resnet50_2d_rin,"ResNet-50 (2D, RadImageNet)",Lung-PET-CT-Dx (test),53,0.660377358490566,0.5471698113207547,0.7735849056603774,0.5419103313840156,0.37524366471734893,0.7076023391812866,0.5083262290423415,0.368904179700894,0.6494530341780981,0.798481643610423,0.6778831521636672,0.8974958478023987,0.8235294117647058,0.7212474385245902,0.9142857142857143,0.26666666666666666,0.0,0.5264912280701752,0.43478260869565216,0.2,0.6434523809523804,0.9140350877192983,0.8315789473684212,0.9736842105263158,0.6985815602836879,0.4468085106382979,0.8936170212765958,0.7828282828282828,0.6414141414141414,0.9041035353535354,2026-05-03T11:32:56
resnet50_2d_rin,"ResNet-50 (2D, RadImageNet)",BigLunge (test),41,0.34146341463414637,0.1951219512195122,0.4878048780487805,0.33699633699633696,0.19413919413919414,0.47985347985347987,0.3214630779848171,0.18728571428571428,0.45578002244668897,0.5307963641296976,0.3862773029439696,0.6702643806810473,0.3333333333333333,0.0908102766798419,0.56,0.17391304347826086,0.0,0.4,0.4571428571428571,0.26666666666666666,0.625,0.5873015873015874,0.3835978835978836,0.7566137566137566,0.42307692307692313,0.22795329670329667,0.6291895604395604,0.582010582010582,0.39411375661375664,0.7566137566137566,2026-05-03T11:34:13
densenet121_2d,"DenseNet121 (2D, ImageNet)",Lung-PET-CT-Dx (test),53,0.6792452830188679,0.5660377358490566,0.7924528301886793,0.5224171539961013,0.3489035087719298,0.6813109161793371,0.5073260073260073,0.34943846488367036,0.6552395958705045,0.7691970092865951,0.6347743862665476,0.8839596506309833,0.8333333333333333,0.7352941176470589,0.9135978835978835,0.30769230769230765,0.0,0.600384615384615,0.380952380952381,0.11764705882352941,0.625,0.8894736842105263,0.7754385964912281,0.9719298245614035,0.6453900709219859,0.3899822695035461,0.8617021276595744,0.7727272727272727,0.5808080808080808,0.9267676767676768,2026-05-03T11:11:19
densenet121_2d,"DenseNet121 (2D, ImageNet)",BigLunge (test),41,0.4634146341463415,0.3170731707317073,0.5853658536585366,0.4542124542124542,0.31497252747252746,0.576923076923077,0.41142127349023894,0.29059523809523813,0.5446543637900046,0.6079568579568579,0.4726622914122914,0.738386921720255,0.5517241379310344,0.3333333333333333,0.7274242424242423,0.1111111111111111,0.0,0.3158947368421052,0.5714285714285714,0.4,0.7222222222222222,0.7063492063492064,0.5317460317460319,0.8650793650793651,0.4587912087912088,0.26648351648351654,0.6594093406593406,0.6587301587301586,0.44695767195767194,0.8333333333333334,2026-05-03T11:12:39
densenet121_2d_rin,"DenseNet121 (2D, RadImageNet)",Lung-PET-CT-Dx (test),53,0.6415094339622641,0.5283018867924528,0.7735849056603774,0.5146198830409356,0.3800438596491228,0.6696150097465887,0.4741924741924743,0.36850468975468975,0.6079812437304697,0.7870621104663659,0.6665779010711822,0.890448493897542,0.8181818181818182,0.7,0.9142857142857143,0.14285714285714288,0.0,0.4,0.46153846153846156,0.2608695652173913,0.6428571428571429,0.8666666666666666,0.7490789473684211,0.9561403508771931,0.6914893617021276,0.4787234042553191,0.8581560283687942,0.803030303030303,0.638888888888889,0.9394570707070707,2026-05-03T11:41:53
densenet121_2d_rin,"DenseNet121 (2D, RadImageNet)",BigLunge (test),41,0.4634146341463415,0.36524390243902444,0.5609756097560976,0.4523809523809524,0.3565476190476191,0.5476190476190476,0.3606837606837607,0.2618181818181818,0.4444444444444444,0.5230633563966898,0.4052960927960928,0.6365198073531407,0.4666666666666667,0.25,0.6451612903225806,0.0,0.0,0.0,0.6153846153846153,0.4878048780487805,0.7369924812030073,0.5714285714285715,0.380952380952381,0.7460978835978835,0.36813186813186816,0.20879120879120883,0.5412087912087912,0.6296296296296297,0.44173280423280425,0.8069444444444444,2026-05-03T11:43:45
swin_tiny_2d,"Swin-Tiny (2D, RadImageNet)",Lung-PET-CT-Dx (test),53,0.6415094339622641,0.5094339622641509,0.7547169811320755,0.5428849902534113,0.39571150097465885,0.679337231968811,0.4894756984309223,0.36460986907727416,0.6177583862925934,0.7624090852534303,0.6578080497019467,0.8559926203053302,0.7761194029850746,0.6557377049180327,0.8648850342880194,0.15384615384615383,0.0,0.42857142857142855,0.5384615384615384,0.3448275862068966,0.6956521739130435,0.8491228070175438,0.7315789473684211,0.9456140350877192,0.574468085106383,0.3687943262411348,0.7659574468085106,0.8636363636363638,0.7626262626262627,0.9494949494949495,2026-05-03T11:23:10
swin_tiny_2d,"Swin-Tiny (2D, RadImageNet)",BigLunge (test),41,0.4634146341463415,0.3170731707317073,0.6097560975609756,0.46336996336996333,0.315018315018315,0.6098901098901098,0.4538730634682659,0.3016145886001281,0.5955210951682726,0.6025980192646859,0.4527565798399132,0.7367266992266991,0.6000000000000001,0.4,0.7857142857142857,0.41379310344827586,0.18143939393939396,0.6060606060606061,0.34782608695652173,0.09523809523809523,0.5833333333333334,0.7063492063492063,0.5211640211640212,0.8756613756613757,0.5247252747252747,0.3158653846153846,0.70885989010989,0.5767195767195767,0.3888888888888889,0.7619708994708995,2026-05-03T11:26:32
