model_type,model_label,dataset,class,f1,f1_ci_lo,f1_ci_hi,auc,auc_ci_lo,auc_ci_hi
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",Lung-PET-CT-Dx (test),Adenocarcinoma,0.8493150684931505,0.7605633802816901,0.9315068493150684,0.8789473684210527,0.7684210526315789,0.9649122807017544
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",Lung-PET-CT-Dx (test),Small Cell,0.3529411764705882,0.11764705882352941,0.5882352941176471,0.7907801418439716,0.6311170212765956,0.9291666666666666
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",Lung-PET-CT-Dx (test),Squamous,0.375,0.0,0.6666666666666666,0.7146464646464646,0.525189393939394,0.8914772727272727
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",BigLunge (test),Adenocarcinoma,0.4444444444444444,0.25,0.6060606060606061,0.6404761904761904,0.4808333333333333,0.7952380952380952
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",BigLunge (test),Small Cell,0.4999999999999999,0.24,0.7142857142857143,0.6948717948717948,0.5,0.8666666666666667
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",BigLunge (test),Squamous,0.4615384615384615,0.21392857142857144,0.6666666666666666,0.588095238095238,0.4023214285714286,0.7667261904761905
resnet50_2d,"ResNet-50 (2D, ImageNet)",Lung-PET-CT-Dx (test),Adenocarcinoma,0.835820895522388,0.7301587301587301,0.916989436619718,0.9140350877192982,0.8280701754385965,0.9772368421052632
resnet50_2d,"ResNet-50 (2D, ImageNet)",Lung-PET-CT-Dx (test),Small Cell,0.5454545454545454,0.18181818181818182,0.8333333333333334,0.7163120567375887,0.4431737588652482,0.9397163120567376
resnet50_2d,"ResNet-50 (2D, ImageNet)",Lung-PET-CT-Dx (test),Squamous,0.5714285714285714,0.42424242424242425,0.7272727272727273,0.8156565656565655,0.6944444444444445,0.9242424242424242
resnet50_2d,"ResNet-50 (2D, ImageNet)",BigLunge (test),Adenocarcinoma,0.5294117647058824,0.3333333333333333,0.6875,0.6000000000000001,0.42613095238095244,0.7571428571428571
resnet50_2d,"ResNet-50 (2D, ImageNet)",BigLunge (test),Small Cell,0.2857142857142857,0.0,0.5217391304347826,0.6923076923076923,0.5101282051282051,0.8359615384615385
resnet50_2d,"ResNet-50 (2D, ImageNet)",BigLunge (test),Squamous,0.5161290322580646,0.30740740740740746,0.7027027027027027,0.6238095238095238,0.4404166666666666,0.7904761904761904
resnet50_2d_rin,"ResNet-50 (2D, RadImageNet)",Lung-PET-CT-Dx (test),Adenocarcinoma,0.8125000000000001,0.6896551724137931,0.8985507246376812,0.8982456140350878,0.8052631578947368,0.9719736842105263
resnet50_2d_rin,"ResNet-50 (2D, RadImageNet)",Lung-PET-CT-Dx (test),Small Cell,0.30769230769230765,0.0,0.6153846153846154,0.6134751773049646,0.35815602836879434,0.8440602836879432
resnet50_2d_rin,"ResNet-50 (2D, RadImageNet)",Lung-PET-CT-Dx (test),Squamous,0.5517241379310346,0.4165948275862069,0.6923076923076923,0.8257575757575757,0.696969696969697,0.9368686868686869
resnet50_2d_rin,"ResNet-50 (2D, RadImageNet)",BigLunge (test),Adenocarcinoma,0.3888888888888889,0.1935483870967742,0.5556201550387596,0.5452380952380952,0.3642261904761905,0.7214285714285714
resnet50_2d_rin,"ResNet-50 (2D, RadImageNet)",BigLunge (test),Small Cell,0.18181818181818185,0.0,0.4166666666666667,0.5307692307692308,0.34102564102564104,0.7077564102564102
resnet50_2d_rin,"ResNet-50 (2D, RadImageNet)",BigLunge (test),Squamous,0.3571428571428571,0.14814814814814814,0.571658986175115,0.5452380952380953,0.3642857142857143,0.7215476190476189
densenet121_2d,"DenseNet121 (2D, ImageNet)",Lung-PET-CT-Dx (test),Adenocarcinoma,0.8717948717948718,0.8048780487804879,0.9367088607594937,0.9333333333333333,0.8596491228070176,0.9842105263157895
densenet121_2d,"DenseNet121 (2D, ImageNet)",Lung-PET-CT-Dx (test),Small Cell,0.4444444444444444,0.0,0.8,0.7340425531914894,0.5141843971631206,0.9326241134751773
densenet121_2d,"DenseNet121 (2D, ImageNet)",Lung-PET-CT-Dx (test),Squamous,0.5263157894736842,0.23529411764705882,0.7777777777777778,0.8257575757575757,0.6615530303030304,0.952020202020202
densenet121_2d,"DenseNet121 (2D, ImageNet)",BigLunge (test),Adenocarcinoma,0.45161290322580644,0.24,0.6250892857142857,0.5714285714285714,0.3856547619047619,0.7358333333333332
densenet121_2d,"DenseNet121 (2D, ImageNet)",BigLunge (test),Small Cell,0.46153846153846156,0.21026315789473685,0.6923076923076923,0.7000000000000001,0.5409615384615384,0.8616025641025641
densenet121_2d,"DenseNet121 (2D, ImageNet)",BigLunge (test),Squamous,0.4137931034482759,0.16666666666666666,0.625,0.5428571428571428,0.35232142857142856,0.7333333333333334
densenet121_2d_rin,"DenseNet121 (2D, RadImageNet)",Lung-PET-CT-Dx (test),Adenocarcinoma,0.7499999999999999,0.6248922413793103,0.8529411764705882,0.8192982456140351,0.6789035087719298,0.9316228070175437
densenet121_2d_rin,"DenseNet121 (2D, RadImageNet)",Lung-PET-CT-Dx (test),Small Cell,0.25,0.0,0.5263157894736842,0.6028368794326242,0.38652482269503546,0.8085106382978724
densenet121_2d_rin,"DenseNet121 (2D, RadImageNet)",Lung-PET-CT-Dx (test),Squamous,0.46153846153846156,0.2608695652173913,0.6666666666666666,0.7904040404040403,0.6287878787878788,0.9344065656565657
densenet121_2d_rin,"DenseNet121 (2D, RadImageNet)",BigLunge (test),Adenocarcinoma,0.3636363636363636,0.16634615384615387,0.55,0.5452380952380953,0.35714285714285715,0.7381547619047619
densenet121_2d_rin,"DenseNet121 (2D, RadImageNet)",BigLunge (test),Small Cell,0.16666666666666669,0.0,0.38461538461538464,0.5076923076923077,0.33076923076923076,0.6872435897435897
densenet121_2d_rin,"DenseNet121 (2D, RadImageNet)",BigLunge (test),Squamous,0.4827586206896552,0.24,0.6875,0.611904761904762,0.43089285714285713,0.77625
swin_tiny_2d,"Swin-Tiny (2D, RadImageNet)",Lung-PET-CT-Dx (test),Adenocarcinoma,0.7999999999999999,0.6969367588932807,0.8918918918918919,0.8385964912280701,0.7157894736842105,0.9404824561403508
swin_tiny_2d,"Swin-Tiny (2D, RadImageNet)",Lung-PET-CT-Dx (test),Small Cell,0.28571428571428575,0.0,0.5714285714285714,0.7056737588652482,0.4574468085106383,0.900709219858156
swin_tiny_2d,"Swin-Tiny (2D, RadImageNet)",Lung-PET-CT-Dx (test),Squamous,0.4545454545454546,0.23529411764705882,0.6956521739130435,0.8156565656565656,0.689330808080808,0.9343434343434344
swin_tiny_2d,"Swin-Tiny (2D, RadImageNet)",BigLunge (test),Adenocarcinoma,0.5714285714285715,0.3783783783783784,0.7222222222222222,0.6642857142857144,0.4904166666666667,0.8166666666666667
swin_tiny_2d,"Swin-Tiny (2D, RadImageNet)",BigLunge (test),Small Cell,0.48000000000000004,0.21419172932330827,0.6923076923076923,0.6846153846153846,0.5025641025641026,0.8435897435897436
swin_tiny_2d,"Swin-Tiny (2D, RadImageNet)",BigLunge (test),Squamous,0.3846153846153846,0.14273399014778326,0.5925925925925926,0.45952380952380956,0.2571428571428571,0.6452976190476191
